# bin x_uniform uniform1 uniform2 x_gaussian gaussian1 gaussian2 
    1    0.0100001    1969    1995     -2.94       115     107
    2    0.0300001    1970    2021     -2.82       108      91
    3     0.05    2042    2065      -2.7       123     118
    4    0.0700001    2022    1985     -2.58       197     169
    5     0.09    2007    2059     -2.46       247     220
    6     0.11    1970    2039     -2.34       299     285
    7     0.13    1997    1994     -2.22       367     371
    8     0.15    1903    1961      -2.1       503     529
    9     0.17    1945    1979     -1.98       678     694
   10     0.19    2014    1974     -1.86       859     850
   11     0.21    2062    1968     -1.74      1036    1062
   12     0.23    2031    1940     -1.62      1351    1288
   13     0.25    2004    2057      -1.5      1574    1561
   14     0.27    1975    2078     -1.38      1926    1825
   15     0.29    2000    1964     -1.26      2213    2154
   16     0.31    2011    1998     -1.14      2481    2539
   17     0.33    2067    1985     -1.02      2824    2923
   18     0.35    1963    1985      -0.9      3237    3175
   19     0.37    2064    2028     -0.78      3647    3564
   20     0.39    1983    2036     -0.66      3842    3964
   21     0.41    2036    2005     -0.54      3931    4072
   22     0.43    1984    2043     -0.42      4389    4314
   23     0.45    1933    2050      -0.3      4610    4528
   24     0.47    2043    1901     -0.18      4765    4731
   25     0.49    2027    1931     -0.06      4760    4840
   26     0.51    2000    1935      0.06      4743    4837
   27     0.53    2011    1917      0.18      4675    4695
   28     0.55    1972    1995       0.3      4678    4633
   29     0.57    1982    2088      0.42      4210    4307
   30     0.59    2020    1977      0.54      4093    4186
   31     0.61    1962    1959      0.66      3869    3833
   32     0.63    2046    2032      0.78      3596    3353
   33     0.65    1989    1995       0.9      3166    3194
   34     0.67    2073    2064      1.02      2895    2880
   35     0.69    1998    2038      1.14      2531    2489
   36     0.71    1990    1992      1.26      2148    2158
   37     0.73    2001    1969      1.38      1749    1863
   38     0.75    1904    1972       1.5      1558    1572
   39     0.77    1950    2028      1.62      1253    1260
   40     0.79    1851    1988      1.74      1163    1106
   41     0.81    2062    1974      1.86       796     805
   42     0.83    2038    1982      1.98       722     704
   43     0.85    1990    1965       2.1       544     561
   44     0.87    1966    1989      2.22       406     405
   45     0.89    2081    2022      2.34       307     289
   46     0.91    2101    1991      2.46       235     216
   47     0.93    1950    2029     2.58001       162     167
   48     0.95    1984    2016     2.70001       142     129
   49     0.97    1990    2094     2.82002        75     102
   50     0.99    2067    1948     2.94006        64      71
